0,1,2
-3.4524426,5.7784743,-3.2845013
-3.0284736,5.0250773,-2.8508213
5.0104194,-3.421026,-2.1395485
-3.3176866,-1.9425049,4.5814395
-3.1501596,-2.6865432,5.0584884
5.311464,-3.1052854,-2.9243824
-1.944109,-2.873866,4.307382
-2.8680003,3.967102,-1.9458144
-3.3133595,5.72585,-3.2533932
-3.528396,5.796759,-3.1633527
5.462932,-3.4660213,-2.6420715
-3.0738149,-2.970167,5.280117
5.161163,-3.3538635,-2.4236479
-1.1592343,4.100749,-3.7290978
-3.4538934,5.8810897,-3.3561103
-2.8272657,-3.0995536,5.1821
5.400916,-3.3481271,-2.7718759
-3.4633205,1.8923012,0.81596154
-3.101073,-2.9591894,5.3162427
5.0273666,-3.2671306,-2.3758953
2.531147,-0.32748103,-2.7077534
0.9429974,-1.9175885,0.579251
-0.7071404,-1.7030791,1.7673098
-2.9541852,-2.7436569,5.0318055
4.5913787,-3.4805818,-1.622143
3.7014196,-2.8162038,-1.4287924
-3.4964654,5.836843,-3.2485726
5.429969,-3.3401642,-2.8132377
5.23621,-3.1641498,-2.7303052
5.3384757,-3.3284707,-2.6974912
-3.4550653,5.7590847,-3.1992884
4.995881,-3.132844,-2.4934552
-3.427641,0.49017134,2.2177083
-3.2068107,5.66905,-3.3948364
5.3641777,-3.3471277,-2.6915133
-3.4521759,5.83571,-3.297075
-3.444847,5.6894197,-3.0860405
5.148652,-3.2475433,-2.5697753
5.2450128,-2.9976945,-2.9715133
-2.5526342,-3.0882416,4.8241324
5.004024,-2.8916953,-2.606162
-3.6549828,5.3753996,-2.6304848
5.4245358,-3.3017547,-2.8443325
-3.099694,-2.0408607,4.495744
-2.3574798,-3.0392537,4.691782
5.419306,-3.3538854,-2.7828321
5.1107755,-3.2767289,-2.4183109
-2.8380191,-2.8455482,4.86733
-3.13705,0.4291167,1.954723
5.3300853,-3.38348,-2.600613
5.3770857,-3.3931148,-2.6318886
-3.4479542,5.7428718,-3.1770265
5.413066,-3.507846,-2.6217613
-3.0573444,-2.8099296,5.165848
-3.177628,4.333091,-1.8400841
-3.5137353,5.842887,-3.2323625
-2.7962735,-2.1580534,4.345886
5.2299004,-3.187717,-2.665356
-3.4206498,5.6195235,-3.0969982
-3.2236626,-2.64618,5.1249337
-1.3507155,-2.9214509,3.4599419
5.2496247,-3.002343,-3.0007036
-3.3412685,5.702581,-3.2726038
-3.1195924,3.784771,-1.3596216
-3.39021,5.7972436,-3.3314888
-3.5894716,3.6732037,-1.009565
-3.0766551,-2.9065292,5.2387667
5.376513,-3.3808472,-2.7269773
-1.2384255,-2.1932678,2.9892628
-3.375079,5.746807,-3.274192
-2.8742306,5.2109466,-3.1815813
-3.3958645,5.793033,-3.2654545
5.2810864,-3.3940144,-2.509876
-3.079118,-2.901884,5.234926
-3.3816864,5.3027673,-2.832446
-2.8806124,3.495227,-1.2793978
5.076986,-3.171706,-2.6063046
-1.9969014,-1.240002,2.6587336
-3.3820686,5.869992,-3.356283
5.333225,-3.2325974,-2.8214672
-3.3977857,5.7307677,-3.1402245
5.25623,-3.0874596,-2.8839931
-3.271036,3.6759992,-1.2736846
-1.8908924,4.5931396,-3.620559
5.3234634,-3.3177364,-2.6868124
-3.416121,5.7894387,-3.2844746
-3.0781868,-2.8536625,5.214666
-3.5674474,4.741962,-1.9047196
-3.1532857,-2.6249247,5.053123
-2.9714973,-2.9436135,5.2139344
-1.6885405,-0.9241565,2.0071511
-2.3977764,-3.16539,4.812927
-2.770704,-2.9375088,4.991155
5.138313,-3.119037,-2.660019
-3.4703605,5.8885636,-3.286578
-2.8860743,-1.0876712,3.1485946
5.33967,-3.2711093,-2.76484
-2.8577585,5.3216605,-3.3453834
4.3116865,-1.8658684,-3.1900954
-3.390332,5.832741,-3.3305683
5.4757705,-3.426789,-2.7471797
-2.6176322,-2.8120136,4.64364
-3.2553537,0.854591,1.6707108
-3.0024037,-2.9949157,5.2551513
5.053351,-3.2402084,-2.4359229
-2.9352002,-2.9795501,5.1830745
5.4312625,-3.345604,-2.8126657
-2.7482705,-2.9477074,4.845829
-3.0683281,-2.9334803,5.255668
-3.4018059,5.8329244,-3.322828
-3.792425,5.352531,-2.3197646
4.9529204,-3.3515396,-2.1902025
5.446836,-3.4427457,-2.7207434
-3.3848667,5.7901454,-3.3636396
3.0663517,-2.3117616,-1.3626511
-3.1300418,-2.9651983,5.283652
-3.4483583,5.8370414,-3.3100305
-3.5225587,5.522281,-2.8975313
-3.0430279,-2.903684,5.1860595
5.378469,-3.3152616,-2.7227657
5.376373,-3.2156265,-2.90003
2.76312,-1.8826355,-1.5108774
4.974853,-2.873267,-2.7143257
5.3872957,-3.2113507,-2.873874
-2.5434065,5.113748,-3.4777398
4.8953047,-2.8131654,-2.7229123
-3.3434246,5.6276245,-3.23741
-3.2260365,5.6327543,-3.324667
5.2733912,-3.430205,-2.5030277
5.4078107,-3.3176544,-2.827631
-2.3573792,-3.2010803,4.8096504
-3.3431206,5.626617,-3.2170632
-2.812906,-3.0703554,5.0580134
5.042563,-3.3140373,-2.2706594
-3.5974758,4.5193686,-1.6405182
-3.689963,-0.049927283,2.981348
-2.70359,-3.0727718,5.117836
5.4505143,-3.4080238,-2.7829978
-3.548053,5.051208,-2.2468154
-3.4535713,5.806728,-3.2533333
3.7439659,-2.8123505,-1.5838954
-2.9356964,-2.2588136,4.4893694
-2.9485552,-2.933194,5.1307244
-2.9353673,-2.6710691,4.864768
3.0306346,-3.483688,-0.23119174
-3.361878,5.7749867,-3.3237634
-2.6349206,-3.086551,4.9819946
-3.3624368,5.750483,-3.2639508
-1.3914858,3.74743,-3.124317
-3.2379658,5.3246455,-2.8746278
-2.8438096,-3.0061755,4.9758015
5.2192254,-3.4553552,-2.441437
5.3992114,-3.3809679,-2.752016
-3.1382134,-2.9878597,5.3342147
5.249351,-3.3238027,-2.5581272
-3.4719956,5.837497,-3.2210832
-2.8242154,5.2236147,-3.2487488
4.174859,-1.6563313,-3.1129854
4.29805,-2.4880712,-2.335638
-2.9568272,-2.9905019,5.2010508
-3.4245164,5.822097,-3.2986512
5.3499737,-3.5023034,-2.45623
-2.6205723,-2.7195375,4.5341773
-3.4391358,5.8438087,-3.285815
-2.3724096,-1.5834261,3.2550175
5.3345985,-3.2280731,-2.8314507
-3.6008675,4.717279,-1.8233128
-2.955502,4.6464477,-2.4691842
-3.0169857,-2.922444,5.231701
-3.4919612,5.639824,-3.093168
-2.7900121,-3.056429,5.076483
-3.30634,2.2341363,0.33471617
5.389068,-3.2497804,-2.8999898
-3.1085598,-2.9146776,5.297764
4.7925925,-2.6626909,-2.7173715
-3.1501565,-2.9198186,5.25474
5.392791,-3.3399968,-2.777449
4.783336,-3.2861347,-2.0473907
-3.2299554,-2.5877316,5.143098
-3.0799646,-2.8205192,5.2197604
-3.4431775,5.1418414,-2.5699632
-3.4205863,5.8397574,-3.3050199
-2.4645152,-1.4654673,3.3175733
5.4415493,-3.3646321,-2.8521712
-2.975339,-2.9648435,5.221617
5.4316883,-3.3611298,-2.7718494
-3.1684816,-2.9236345,5.3466496
-2.9256542,-2.668867,4.866653
5.2445292,-3.4176614,-2.469096
5.4045568,-3.2964723,-2.8264778
-3.3292692,0.025777007,2.6209104
5.460001,-3.4552007,-2.7292423
-3.0717413,-2.9413948,5.3245254
-2.4807684,4.6699157,-3.0220525
-3.3886878,5.749336,-3.2431622
-1.2244521,-3.2020586,3.5897279
-3.0755613,-0.48441884,2.9137042
5.447561,-3.4135017,-2.7600842
-3.5032406,5.7736473,-3.1680758
-1.9709305,-2.635038,3.9189298
-2.976773,-1.8009411,3.9445171
5.1773505,-3.3550267,-2.451331
-2.9739404,-3.013665,5.249681
5.417963,-3.361319,-2.7896564
5.505207,-3.469099,-2.7759032
-3.4158134,5.805164,-3.2679393
-1.1137613,-2.5573804,2.8180397
-1.1509694,3.3193645,-2.6800764
-2.249832,-0.84259444,2.5913103
5.291824,-3.2183502,-2.8022594
-3.5115533,4.1420403,-1.4837261
5.433146,-3.3378873,-2.797839
5.288406,-3.254104,-2.6843853
5.3957243,-3.3669994,-2.728763
4.8645926,-3.1588228,-2.269503
-2.1727939,-2.9182804,4.357245
-3.1717753,-2.8213024,5.2391953
5.247911,-3.2148912,-2.6654718
-3.1412733,-2.8461287,5.2610784
5.3390727,-3.2738092,-2.7639253
5.434055,-3.4898286,-2.6767435
5.376966,-3.3587463,-2.678169
-3.0697613,-2.8726897,5.193914
5.3871155,-3.3326275,-2.733261
-3.0244136,4.696788,-2.6367788
-3.373708,3.7724118,-1.2699163
-3.4247556,5.8640018,-3.3161843
-3.0130143,-2.981177,5.1958103
-3.7101612,5.6492953,-2.7774186
5.408548,-3.368815,-2.760649
4.8998547,-2.9143126,-2.5689294
-2.339632,4.831899,-3.3193433
5.469449,-3.3764825,-2.8137112
5.305444,-3.3012795,-2.6676025
-2.9351757,-2.810084,5.0019646
5.441092,-3.3949,-2.7487392
-3.42623,5.146692,-2.6544967
5.4117074,-3.4183614,-2.712508
1.297221,-3.118822,1.2383751
-3.4046104,5.8585634,-3.3255227
-3.1638372,-2.5003095,4.965625
5.445089,-3.350949,-2.8488252
-3.3787687,-0.12787448,2.760454
-3.4828699,5.879046,-3.2478032
5.1828756,-3.3699791,-2.42466
5.2704234,-3.2427998,-2.7307632
-2.964016,-2.914122,5.023681
5.4374013,-3.3937542,-2.7849643
-3.5613725,5.3553567,-2.6978111
5.3790717,-3.3443954,-2.7367656
-3.125409,-2.8979223,5.275022
-2.72422,-2.966879,4.903915
3.7124488,-2.6981642,-1.7909406
-3.025736,-2.8620965,5.189698
5.3361263,-3.4342327,-2.6159093
-3.0407434,-2.9394345,5.1857715
-3.3471875,-0.24481678,2.7867386
-2.1906743,-0.029738998,1.4141065
-3.4425614,5.85488,-3.2953033
